Ticker
AAPL
MSFT
GOOG
TSLA
NVDA
META
AMZN
LRCX
AVGO
NOW
PLTR
IBKR
AMD
NBIS
HOOD
ARM
MA
V
ASML
GE
NVO
ORCL
MU
MNST
LLY
AEG
SNOW
CRM
HWM
SPCX
PANW
UNH
SNDK
INTC
NFLX
MRVL
SOFI
DRAM
TSM
WDC
QCOM
WMT
HPE
DDOG
JPM
AMAT
SHOP
CSCO
GEV
